body_subsite	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque
OTU9710169	0	0	3	0	0	0	1	1	5	1	0	0	1	0	1	0	0	0	2	1	4	4	1	0	14	4	0	1	0	0	1	0	1	0	3	1	2	0	0	0	1	0	1	0	30	0	9	1	0	2	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	2	1	2	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	5	2	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	1	1	2	3	0	0	0	0	0	2	2	4	0	0	0	3	0	0	0	0	0	0	0	0	0	28	4	0	0	14	0	0	0	3	0	18	1	15	3	0	0	1	0	0	0	0	1	0	0	0	0	6	0	0	3	0	1	8	1	0	0	5	0	1	1	1	0	0	0	0	0	0	0	0	0	9	1	1	0	0	0	0	0	2	0	4	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	55	2	0	0	1	0	0	0	0	0	0	0
OTU97102	35	5	8	6	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	39	22	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	4	4	0	0	0	0	0	2	7	1	0	3	2	6	0	0	0	0	0	0	0	0	0	5	5	0	0	1	0	0	0	1	0	0	0	0	0	0	3	2	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	12	10	3	0	0	0	0	0	2	1	0	0	4	14	0	5	0	0	0	0	1	0	2	2	0	0	0	0	0	0	11	12	0	5	0	0	4	3	0	0	0	0	27	17	3	1	0	0	0	0	7	2	0	0	5	0	11	12	0	0	0	0	3	9	0	0	0	0	0	0	60	174	1	0	0	1	0	13	8	1	10	33	0	0	7	2	0	1	0	2	0	0	19	8	0	0	34	1	1	8	6	13	1	0	0	0	0	0	1	0	0	0	10	4	17	1	0	0	0	0	0	0	0	0	0	0
OTU9710294	0	0	0	0	0	0	4	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	16	13	1	0	1	1	0	1	1	1	1	5	0	0	1	0	1	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	4	0	0	0	2	0	0	8	6	8	3	0	0	0	0	2	0	0	0	1	0	1	0	2	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	1	6	4	3	6	0	0	3	2	0	2	7	0	2	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0
OTU97103	0	0	0	0	0	1	1	1	3	0	0	0	0	0	7	6	0	0	0	1	3	0	8	1	10	4	0	0	0	0	0	0	4	1	0	4	0	0	0	0	1	0	13	4	6	0	1	0	3	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	2	0	0	2	0	1	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	6	0	0	0	1	0	0	0	1	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	9	0	1	0	1	0	0	1	4	0	0	2	0	0	0	0	0	1	1	0	4	0	5	2	0	0	0	0	0	0	1	0	5	0	42	1	0	0	0	1	0	1	2	0	0	0	0	0	1	1	1	3	12	4	1	0	0	0	2	0	0	0	2	0	0	0	3	2	0	0	5	1	1	0	0	0	0	4	0	0	0	0	0	0	0	1	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	30	12	0	0	0	0	6	0
OTU97104	0	0	1	0	7	0	0	0	9	0	2	7	0	1	8	1	0	1	0	0	19	32	45	20	97	76	40	9	2	6	0	0	1	2	19	18	0	5	17	4	23	10	3	0	13	18	4	19	0	0	5	4	0	0	1	0	0	0	0	0	0	0	3	11	13	0	3	6	19	16	4	1	0	0	0	0	0	1	4	0	0	1	5	11	4	20	0	0	0	1	63	3	0	0	0	0	0	2	0	2	2	2	5	0	0	0	0	0	0	0	0	0	0	0	9	15	0	0	20	0	0	0	310	357	0	0	0	0	24	1	0	0	0	0	52	1	13	4	33	40	0	0	25	0	0	0	11	0	2	1	0	0	0	0	0	0	33	14	8	0	0	1	6	3	4	3	1	17	1	0	15	19	0	0	1	0	10	159	45	30	0	0	0	1	1	0	0	0	33	17	0	0	0	3	11	3	47	22	7	0	0	0	4	1	1	0	1	0	11	0	0	0	30	19	0	0	16	1	0	0	0	0	0	0	2	3	30	4	31	0
OTU971043	5	5	7	5	0	1	1	0	0	0	0	0	0	0	0	0	4	4	0	3	1	1	0	0	0	0	5	1	4	1	0	0	1	2	0	0	2	0	0	0	1	0	0	0	0	0	1	4	1	0	0	9	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	1	5	1	0	0	0	0	2	5	4	3	0	0	0	0	0	0	1	11	1	1	1	6	0	3	4	1	0	0	0	0	4	14	0	0	0	0	1	0	1	0	0	0	19	11	0	0	0	3	0	1	0	2	1	0	0	0	4	0	1	0	0	0	1	1	0	0	0	0	6	4	2	1	1	0	0	1	1	1	0	1	1	3	0	0	1	1	2	1	0	0	1	2	18	0	8	5	1	1	0	1	6	10	3	1	0	0	3	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU9710439	6	5	0	0	0	1	8	3	0	0	1	4	0	0	7	1	4	17	3	3	0	4	17	14	1	0	0	0	0	1	2	5	0	0	2	2	0	1	2	0	14	3	0	0	1	7	5	23	18	32	4	9	3	0	0	1	0	0	2	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	4	20	0	2	0	0	0	3	0	1	0	0	0	0	0	0	1	1	2	0	0	2	0	0	2	0	0	1	3	0	0	0	0	0	2	4	0	14	37	12	0	1	18	23	20	11	2	0	2	3	0	3	0	0	8	7	4	1	25	9	6	9	21	0	9	1	1	0	5	1	2	7	33	61	0	0	0	0	22	4	17	4	38	15	1	8	7	3	27	15	0	0	11	5	0	2	18	15	0	1	3	4	0	0	2	0	0	0	25	1	2	3	1	0	0	4	4	6	7	4	19	1	6	0	2	2	6	7	26	3	5	2	0	3	56	45	0	1	5	0	14	3	0	1	2	2	0	0	0	0	0	0
OTU9710462	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	7	0	1	2	0	2	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	2	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	4	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	2
OTU971049	0	0	0	0	0	0	0	0	37	1	0	1	2	2	0	0	1	0	0	0	0	0	0	2	5	9	18	12	0	0	0	0	10	7	0	0	0	0	2	1	0	0	0	0	2	2	0	2	36	30	1	2	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	62	25	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	7	0	15	0	0	0	10	2	0	0	0	0	0	0	8	15	4	1	6	11	0	0	1	1	7	27	9	9	0	1	1	0	3	0	2	14	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	11	21	6	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU9710497	0	0	0	0	0	0	6	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	7	2	0	4	5	1	1	0	1	9	8	0	0	1	0	0	0	0	1	0	0	0	0	6	10	2	16	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	6	1	0	1	0	0	0	1	0	0	0	0	6	8	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	3	3	2	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	3	1	0	15	8	15	3	5	3	0	0	0	0	0	2	1	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	21	6	1	0	0	0	0	0
